split,image_path,original_class,disease_label
train,data/raw/train/apple black rot/apple_black_rot_google_0097.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0101.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0112.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0131.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0133.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0136.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0137.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0154.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0156.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0157.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0160.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0166.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0177.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0190.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0221.jpg,apple black rot,black rot
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_10.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_100.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_13.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_16.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_17.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_18.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_19.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_20.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_21.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_22.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_23.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_25.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_28.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_29.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_31.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_34.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_35.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_38.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_39.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_40.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_41.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_44.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_46.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_47.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_48.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_49.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_5.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_51.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_56.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_57.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_6.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_63.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_65.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_74.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_8.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_9.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0002.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0003.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0005.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0006.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0007.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0008.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0009.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0011.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0013.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0014.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0015.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0016.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0017.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0018.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0019.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0020.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0022.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0026.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0029.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0031.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0034.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0039.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0048.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0049.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0050.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0056.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0058.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0074.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0075.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0084.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0087.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0089.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0095.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0097.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0105.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0108.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple mosaic virus/apple_mosaic_virus_google_0118.jpg,apple mosaic virus,mosaic virus
train,data/raw/train/apple rust/apple_rust_1.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_10.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_102.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_106.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_107.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_114.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_12.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_124.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_129.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_13.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_147.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_150.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_151.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_152.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_153.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_162.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_173.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_178.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_181.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_182.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_19.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_2.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_20.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_21.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_27.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_28.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_3.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_30.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_31.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_33.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_34.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_36.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_4.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_40.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_41.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_42.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_45.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_46.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_47.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_48.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_49.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_5.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_50.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_51.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_52.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_54.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_55.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_6.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_60.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_61.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_64.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_66.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_67.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_68.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_69.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_71.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_73.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_74.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_76.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_78.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_8.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_80.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_84.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_92.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_93.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_94.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_96.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_98.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0007.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0008.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0010.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0011.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0013.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0019.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0027.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0028.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0031.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0032.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0035.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0037.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0038.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0039.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0041.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0049.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0054.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0056.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0057.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0058.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0065.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0069.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0073.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0081.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0083.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0088.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0092.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0094.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0095.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0097.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0107.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0111.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0121.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0123.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0129.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0135.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0136.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0139.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0140.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0147.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0168.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0169.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0172.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0175.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0184.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0190.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0191.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0193.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0196.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0197.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0203.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0206.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0215.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0218.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0220.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0228.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0233.jpg,apple rust,rust
train,data/raw/train/apple rust/apple_rust_google_0238.jpg,apple rust,rust
train,data/raw/train/apple scab/apple_scab_10.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_11.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_118.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_14.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_15.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_16.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_17.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_18.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_19.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_2.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_20.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_21.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_23.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_24.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_25.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_26.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_27.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_29.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_3.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_31.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_32.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_34.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_38.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_39.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_4.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_40.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_43.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_46.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_48.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_49.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_5.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_53.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_54.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_56.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_60.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_61.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_62.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_63.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_64.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_65.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_66.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_68.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_69.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_71.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_73.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_74.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_76.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_77.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_8.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_82.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_85.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_86.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_9.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_92.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_95.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_97.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0000.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0001.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0002.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0006.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0008.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0009.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0011.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0012.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0013.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0014.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0015.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0016.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0018.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0019.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0020.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0021.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0023.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0024.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0028.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0029.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0031.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0032.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0034.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0035.jpg,apple scab,scab
train,data/raw/train/apple scab/apple_scab_google_0036.jpg,apple scab,scab
